"Date","Price","Open","High","Low","Vol.","Change %"
"2023-07-13","5.4534","5.4360","5.4620","5.4302","","0.38%"
"2023-07-12","5.4330","5.4495","5.4591","5.4232","","-0.28%"
"2023-07-11","5.4482","5.4458","5.4534","5.4212","","0.06%"
"2023-07-10","5.4450","5.4408","5.4520","5.4331","","0.11%"
"2023-07-07","5.4392","5.4238","5.4436","5.4059","","0.30%"
"2023-07-06","5.4230","5.4570","5.4584","5.4215","","-0.59%"
"2023-07-05","5.4551","5.4552","5.4706","5.4493","","0.01%"
"2023-07-04","5.4546","5.4647","5.4675","5.4476","","-0.14%"
"2023-07-03","5.4625","5.4766","5.4798","5.4596","","-0.26%"
"2023-06-30","5.4768","5.4732","5.4962","5.4654","","0.12%"
"2023-06-29","5.4704","5.4640","5.4784","5.4454","","0.14%"
"2023-06-28","5.4627","5.4732","5.4835","5.4585","","-0.16%"
"2023-06-27","5.4717","5.5026","5.5083","5.4637","","-0.52%"
"2023-06-26","5.5005","5.4458","5.5087","5.4448","","1.05%"
"2023-06-23","5.4436","5.4588","5.4628","5.4279","","-0.26%"
"2023-06-22","5.4576","5.4551","5.4647","5.4470","","0.11%"
"2023-06-21","5.4518","5.4264","5.4567","5.4249","","0.49%"
"2023-06-20","5.4250","5.4196","5.4333","5.4117","","0.09%"
"2023-06-19","5.4200","5.3973","5.4331","5.3928","","0.41%"
"2023-06-16","5.3978","5.3865","5.4083","5.3706","","0.27%"
"2023-06-15","5.3830","5.3774","5.3955","5.3591","","0.17%"
"2023-06-14","5.3741","5.3826","5.3909","5.3534","","-0.12%"
"2023-06-13","5.3807","5.3445","5.3889","5.3425","","0.70%"
"2023-06-12","5.3435","5.3436","5.3644","5.3379","","0.05%"
"2023-06-09","5.3408","5.3251","5.3554","5.3197","","0.31%"
"2023-06-08","5.3245","5.3320","5.3469","5.3120","","-0.11%"
"2023-06-07","5.3303","5.3110","5.3404","5.3028","","0.37%"
"2023-06-06","5.3107","5.2815","5.3144","5.2803","","0.57%"
"2023-06-05","5.2807","5.2745","5.3035","5.2712","","0.11%"
